[27/07/2013 16:36:00] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:00] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:00] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:01] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:01] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:01] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:02] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:02] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:03] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:03] /addskill anbu sou eu, magic, 1
[27/07/2013 16:36:04] /addskill anbu sou eu, magic, 1
